file_name,unique_ID,creator,date,language,page_number (original),page_type,text_legibility,images_present,handwriting_type,medium_used,annoations_present,overall_page_condition,page_edge_condition,content_summary/keywords
Greenman_MateriaMedica_1785_page425.jpg,DGMM016,David Greenman,1785,English,209,lecture notes,mostly clear / minor smudges,none,cursive,ink,none,fair,worn & torn (side),Lecture 43; Copious; Strengthen
Greenman_MateriaMedica_1785_page441.jpg,DGMM017,David Greenman,1785,English,217,lecture notes,mostly clear / minor smudges,none,cursive,ink,none,fair,worn & trimmed (side),Lecture 44; Symptoms; Eyes; Belly; Abdomen
Greenman_MateriaMedica_1785_page445.jpg,DGMM018,David Greenman,1785,English,219,lecture notes,mostly clear,none,cursive,ink,some words are underlined in link (possibly by the original creator),fair,worn & torn (side),Mercury; Destroying; Tin; Iron
Greenman_MateriaMedica_1785_page453.jpg,DGMM019,David Greenman,1785,English,223,lecture notes,mostly clear / minor smudges,none,cursive,ink,none,fair,worn & torn (side),Salt; Camphor; Intestines
Greenman_MateriaMedica_1785_page455.jpg,DGMM020,David Greenman,1785,English,224,lecture notes,clear,none,cursive,ink,some words added between lines,poor,worn & torn (side),Finish; Drops; Egypt; Cold; Warm
Greenman_MateriaMedica_1785_page459.jpg,DGMM021,David Greenman,1785,English,none,index,mostly clear,none,cursive,ink,some page numbers added in pencil,fair,worn & torn (side),Index; Page; Acids; Animal Food; Letter A
Greenman_MateriaMedica_1785_page463.jpg,DGMM022,David Greenman,1785,English,none,index,heavily smudged,none,cursive,mixed,some words and page numbered added in pencil,poor,worn & torn (all sides),"Cinnamon; Coffee; Drinks; Letter C, D"
Greenman_MateriaMedica_1785_page465.jpg,DGMM023,David Greenman,1785,English,none,index,smudged/difficult to read,none,cursive,mixed,some words and page numbered added in pencil,poor,worn & torn (all sides),"Page; Gonorrhea; Horse Radish; Letters G, H, I, J"
Greenman_MateriaMedica_1785_page469.jpg,DGMM024,David Greenman,1785,English,none,index,heavily smudged,none,cursive,mixed,some words and page numbered added in pencil and some page numbers crossed out in ink,poor,worn & torn (all sides),"Page; Roses; Salt; Sugar; Letters R, S"
Greenman_MateriaMedica_1785_page471.jpg,DGMM025,David Greenman,1785,English,none,index,mostly clear / minor smudges,none,cursive,mixed,some words and page numbered added in pencil,poor,worn & torn (all sides),"Page; Tea; Tobacco; Wine; Letters T, U, V, W, Y, Z"
